knot,p,q,Ord,Ordv_pq,Result
K11a1,2,19,1,3,True
K11a2,2,11,1,3,True
K11a2,2,13,1,3,True
K11a2,2,15,1,3,True
K11a2,2,17,1,3,True
K11a2,2,19,1,3,True
K11a3,2,15,1,2,False
K11a3,2,17,1,2,False
K11a3,2,19,1,2,False
K11a3,2,21,1,2,False
K11a3,2,23,1,2,False
K11a4,2,11,1,2,False
K11a4,2,13,1,2,False
K11a4,2,15,1,2,False
K11a4,2,17,1,2,False
K11a4,2,19,1,2,False
K11a5,2,11,1,2,False
K11a5,2,13,1,2,False
K11a5,2,15,1,2,False
K11a5,2,17,1,2,False
K11a5,2,19,1,2,False
K11a6,2,11,1,3,True
K11a6,2,13,1,3,True
K11a6,2,15,1,3,True
K11a6,2,17,1,3,True
K11a6,2,19,1,3,True
K11a7,2,15,1,2,False
K11a7,2,17,1,2,False
K11a7,2,19,1,2,False
K11a7,2,21,1,2,False
K11a7,2,23,1,2,False
K11a8,2,11,1,2,False
K11a8,2,13,1,2,False
K11a8,2,15,1,2,False
K11a8,2,17,1,2,False
K11a8,2,19,1,2,False
K11a9,2,15,1,3,True
K11a9,2,17,1,3,True
K11a9,2,19,1,3,True
K11a9,2,21,1,3,True
K11a9,2,23,1,3,True
K11a10,2,11,1,3,True
K11a10,2,13,1,3,True
K11a10,2,15,1,3,True
K11a10,2,17,1,3,True
K11a10,2,19,1,3,True
K11a11,2,11,1,2,False
K11a11,2,13,1,2,False
K11a11,2,15,1,2,False
K11a11,2,17,1,2,False
K11a11,2,19,1,2,False
K11a12,2,11,1,3,True
K11a12,2,13,1,3,True
K11a12,2,15,1,3,True
K11a12,2,17,1,3,True
K11a12,2,19,1,3,True
K11a13,2,7,1,2,False
K11a13,2,9,1,2,False
K11a13,2,11,1,2,False
K11a13,2,13,1,2,False
K11a13,2,15,1,2,False
K11a14,2,15,1,2,False
K11a14,2,17,1,2,False
K11a14,2,19,1,2,False
K11a14,2,21,1,2,False
K11a14,2,23,1,2,False
K11a15,2,15,1,2,False
K11a15,2,17,1,2,False
K11a15,2,19,1,2,False
K11a15,2,21,1,2,False
K11a15,2,23,1,2,False
K11a16,2,11,1,2,False
K11a16,2,13,1,2,False
K11a16,2,15,1,2,False
K11a16,2,17,1,2,False
K11a16,2,19,1,2,False
K11a17,2,11,1,3,True
K11a17,2,13,1,3,True
K11a17,2,15,1,3,True
K11a17,2,17,1,3,True
K11a17,2,19,1,3,True
K11a18,2,11,1,3,True
K11a18,2,13,1,3,True
K11a18,2,15,1,3,True
K11a18,2,17,1,3,True
K11a18,2,19,1,3,True
K11a19,2,15,1,3,True
K11a19,2,17,1,3,True
K11a19,2,19,1,3,True
K11a19,2,21,1,3,True
K11a19,2,23,1,3,True
K11a20,2,11,1,3,True
K11a20,2,13,1,3,True
K11a20,2,15,1,3,True
K11a20,2,17,1,3,True
K11a20,2,19,1,3,True
K11a21,2,7,1,3,True
K11a21,2,9,1,3,True
K11a21,2,11,1,3,True
K11a21,2,13,1,3,True
K11a21,2,15,1,3,True
K11a22,2,15,1,3,True
K11a22,2,17,1,3,True
K11a22,2,19,1,3,True
K11a22,2,21,1,3,True
K11a22,2,23,1,3,True
K11a23,2,11,1,3,True
K11a23,2,13,1,3,True
K11a23,2,15,1,3,True
K11a23,2,17,1,3,True
K11a23,2,19,1,3,True
K11a24,2,15,1,2,False
K11a24,2,17,1,2,False
K11a24,2,19,1,2,False
K11a24,2,21,1,2,False
K11a24,2,23,1,2,False
K11a25,2,15,1,3,True
K11a25,2,17,1,3,True
K11a25,2,19,1,3,True
K11a25,2,21,1,3,True
K11a25,2,23,1,3,True
K11a26,2,15,1,2,False
K11a26,2,17,1,2,False
K11a26,2,19,1,2,False
K11a26,2,21,1,2,False
K11a26,2,23,1,2,False
K11a27,2,11,1,2,False
K11a27,2,13,1,2,False
K11a27,2,15,1,2,False
K11a27,2,17,1,2,False
K11a27,2,19,1,2,False
K11a28,2,15,1,2,False
K11a28,2,17,1,2,False
K11a28,2,19,1,2,False
K11a28,2,21,1,2,False
K11a28,2,23,1,2,False
K11a29,2,11,1,2,False
K11a29,2,13,1,2,False
K11a29,2,15,1,2,False
K11a29,2,17,1,2,False
K11a29,2,19,1,2,False
K11a30,2,11,1,2,False
K11a30,2,13,1,2,False
K11a30,2,15,1,2,False
K11a30,2,17,1,2,False
K11a30,2,19,1,2,False
K11a31,2,11,1,3,True
K11a31,2,13,1,3,True
K11a31,2,15,1,3,True
K11a31,2,17,1,3,True
K11a31,2,19,1,3,True
K11a32,2,11,1,3,True
K11a32,2,13,1,3,True
K11a32,2,15,1,3,True
K11a32,2,17,1,3,True
K11a32,2,19,1,3,True
K11a33,2,15,1,2,False
K11a33,2,17,1,2,False
K11a33,2,19,1,2,False
K11a33,2,21,1,2,False
K11a33,2,23,1,2,False
K11a34,2,15,1,3,True
K11a34,2,17,1,3,True
K11a34,2,19,1,3,True
K11a34,2,21,1,3,True
K11a34,2,23,1,3,True
K11a35,2,15,1,2,False
K11a35,2,17,1,2,False
K11a35,2,19,1,2,False
K11a35,2,21,1,2,False
K11a35,2,23,1,2,False
K11a36,2,11,1,2,False
K11a36,2,13,1,2,False
K11a36,2,15,1,2,False
K11a36,2,17,1,2,False
K11a36,2,19,1,2,False
K11a37,2,11,1,2,False
K11a37,2,13,1,2,False
K11a37,2,15,1,2,False
K11a37,2,17,1,2,False
K11a37,2,19,1,2,False
K11a38,2,11,1,2,False
K11a38,2,13,1,2,False
K11a38,2,15,1,2,False
K11a38,2,17,1,2,False
K11a38,2,19,1,2,False
K11a39,2,11,1,2,False
K11a39,2,13,1,2,False
K11a39,2,15,1,2,False
K11a39,2,17,1,2,False
K11a39,2,19,1,2,False
K11a40,2,15,1,3,True
K11a40,2,17,1,3,True
K11a40,2,19,1,3,True
K11a40,2,21,1,3,True
K11a40,2,23,1,3,True
K11a41,2,11,1,3,True
K11a41,2,13,1,3,True
K11a41,2,15,1,3,True
K11a41,2,17,1,3,True
K11a41,2,19,1,3,True
K11a42,2,11,1,3,True
K11a42,2,13,1,3,True
K11a42,2,15,1,3,True
K11a42,2,17,1,3,True
K11a42,2,19,1,3,True
K11a43,2,11,1,3,True
K11a43,2,13,1,3,True
K11a43,2,15,1,3,True
K11a43,2,17,1,3,True
K11a43,2,19,1,3,True
K11a44,2,15,1,2,False
K11a44,2,17,1,2,False
K11a44,2,19,1,2,False
K11a44,2,21,1,2,False
K11a44,2,23,1,2,False
K11a45,2,7,1,3,True
K11a45,2,9,1,3,True
K11a45,2,11,1,3,True
K11a45,2,13,1,3,True
K11a45,2,15,1,3,True
K11a46,2,11,1,3,True
K11a46,2,13,1,3,True
K11a46,2,15,1,3,True
K11a46,2,17,1,3,True
K11a46,2,19,1,3,True
K11a47,2,15,1,2,False
K11a47,2,17,1,2,False
K11a47,2,19,1,2,False
K11a47,2,21,1,2,False
K11a47,2,23,1,2,False
K11a48,2,11,1,3,True
K11a48,2,13,1,3,True
K11a48,2,15,1,3,True
K11a48,2,17,1,3,True
K11a48,2,19,1,3,True
K11a49,2,11,1,3,True
K11a49,2,13,1,3,True
K11a49,2,15,1,3,True
K11a49,2,17,1,3,True
K11a49,2,19,1,3,True
K11a50,2,7,1,3,True
K11a50,2,9,1,3,True
K11a50,2,11,1,3,True
K11a50,2,13,1,3,True
K11a50,2,15,1,3,True
K11a51,2,11,1,2,False
K11a51,2,13,1,2,False
K11a51,2,15,1,2,False
K11a51,2,17,1,2,False
K11a51,2,19,1,2,False
K11a52,2,11,1,2,False
K11a52,2,13,1,2,False
K11a52,2,15,1,2,False
K11a52,2,17,1,2,False
K11a52,2,19,1,2,False
K11a53,2,15,1,3,True
K11a53,2,17,1,3,True
K11a53,2,19,1,3,True
K11a53,2,21,1,3,True
K11a53,2,23,1,3,True
K11a54,2,11,1,2,False
K11a54,2,13,1,2,False
K11a54,2,15,1,2,False
K11a54,2,17,1,2,False
K11a54,2,19,1,2,False
K11a55,2,15,1,2,False
K11a55,2,17,1,2,False
K11a55,2,19,1,2,False
K11a55,2,21,1,2,False
