Name,Genus-3D,L-space
11n_132,2,No
11n_133,4,No
11n_134,2,No
11n_135,3,No
11n_136,3,No
11n_137,3,No
11n_138,2,No
11n_139,1,No
11n_140,2,No
11n_141,1,No
11n_142,2,No
11n_143,3,No
11n_144,3,No
11n_145,3,No
11n_146,3,No
11n_147,4,No
11n_148,4,No
11n_149,4,No
11n_150,3,No
11n_151,2,No
11n_152,3,No
11n_153,4,No
11n_154,3,No
11n_155,3,No
11n_156,3,No
11n_157,3,No
11n_158,4,No
11n_159,3,No
11n_160,3,No
11n_161,3,No
11n_162,2,No
11n_163,3,No
11n_164,3,No
11n_165,3,No
11n_166,4,No
11n_167,3,No
11n_168,3,No
11n_169,3,No
11n_170,2,No
11n_171,2,No
11n_172,3,No
11n_173,4,No
11n_174,3,No
11n_175,3,No
11n_176,3,No
11n_177,4,No
11n_178,3,No
11n_179,3,No
11n_180,3,No
11n_181,2,No
11n_182,4,No
11n_183,3,No
11n_184,3,No
11n_185,3,No
12a_1,4,No
12a_2,4,No
12a_3,3,No
12a_4,4,No
12a_5,3,No
12a_6,4,No
12a_7,4,No
12a_8,4,No
12a_9,3,No
12a_10,3,No
12a_11,4,No
12a_12,3,No
12a_13,4,No
12a_14,4,No
12a_15,4,No
12a_16,4,No
12a_17,4,No
12a_18,4,No
12a_19,4,No
12a_20,4,No
12a_21,3,No
12a_22,3,No
12a_23,3,No
12a_24,4,No
12a_25,3,No
12a_26,4,No
12a_27,3,No
12a_28,3,No
12a_29,4,No
12a_30,4,No
12a_31,3,No
12a_32,3,No
12a_33,4,No
12a_34,4,No
12a_35,3,No
12a_36,4,No
12a_37,3,No
12a_38,2,No
12a_39,4,No
12a_40,4,No
12a_41,4,No
12a_42,3,No
12a_43,3,No
12a_44,3,No
12a_45,4,No
12a_46,3,No
12a_47,3,No
12a_48,4,No
12a_49,3,No
12a_50,4,No
12a_51,3,No
12a_52,4,No
12a_53,3,No
12a_54,3,No
12a_55,3,No
12a_56,2,No
12a_57,3,No
12a_58,4,No
12a_59,4,No
12a_60,4,No
12a_61,4,No
12a_62,3,No
12a_63,4,No
12a_64,3,No
12a_65,4,No
12a_66,4,No
12a_67,4,No
12a_68,3,No
12a_69,4,No
12a_70,4,No
12a_71,4,No
12a_72,3,No
12a_73,3,No
12a_74,4,No
12a_75,3,No
12a_76,2,No
12a_77,4,No
12a_78,4,No
12a_79,4,No
12a_80,4,No
12a_81,3,No
12a_82,3,No
12a_83,3,No
12a_84,4,No
12a_85,4,No
12a_86,3,No
12a_87,4,No
12a_88,4,No
12a_89,3,No
12a_90,4,No
12a_91,4,No
12a_92,4,No
12a_93,4,No
12a_94,3,No
12a_95,3,No
12a_96,3,No
12a_97,2,No
12a_98,4,No
12a_99,4,No
12a_100,3,No
12a_101,4,No
12a_102,3,No
12a_103,3,No
12a_104,3,No
12a_105,4,No
12a_106,3,No
12a_107,3,No
12a_108,4,No
12a_109,3,No
12a_110,3,No
12a_111,4,No
12a_112,4,No
12a_113,4,No
12a_114,3,No
12a_115,4,No
12a_116,4,No
12a_117,3,No
12a_118,3,No
12a_119,4,No
12a_120,4,No
12a_121,3,No
12a_122,4,No
12a_123,4,No
12a_124,3,No
12a_125,3,No
12a_126,4,No
12a_127,3,No
12a_128,2,No
12a_129,4,No
12a_130,3,No
12a_131,4,No
12a_132,4,No
12a_133,4,No
12a_134,4,No
12a_135,3,No
12a_136,4,No
12a_137,4,No
12a_138,4,No
12a_139,4,No
12a_140,3,No
12a_141,4,No
12a_142,4,No
12a_143,4,No
12a_144,3,No
12a_145,3,No
12a_146,5,No
12a_147,4,No
12a_148,4,No
12a_149,4,No
12a_150,3,No
12a_151,3,No
12a_152,2,No
12a_153,3,No
12a_154,3,No
12a_155,3,No
12a_156,2,No
12a_157,4,No
12a_158,4,No
12a_159,3,No
12a_160,4,No
12a_161,3,No
12a_162,3,No
12a_163,3,No
12a_164,4,No
12a_165,3,No
12a_166,4,No
12a_167,4,No
12a_168,3,No
12a_169,2,No
12a_170,3,No
12a_171,3,No
12a_172,4,No
12a_173,4,No
12a_174,4,No
12a_175,3,No
12a_176,3,No
12a_177,3,No
12a_178,3,No
12a_179,4,No
12a_180,3,No
12a_181,3,No
12a_182,4,No
12a_183,2,No
12a_184,4,No
12a_185,4,No
12a_186,4,No
12a_187,3,No
12a_188,4,No
12a_189,4,No
12a_190,4,No
12a_191,4,No
12a_192,3,No
12a_193,4,No
12a_194,3,No
12a_195,4,No
12a_196,3,No
12a_197,2,No
12a_198,3,No
12a_199,3,No
12a_200,4,No
12a_201,3,No
12a_202,4,No
12a_203,4,No
12a_204,3,No
12a_205,4,No
12a_206,3,No
12a_207,4,No
12a_208,3,No
12a_209,4,No
12a_210,3,No
12a_211,4,No
12a_212,3,No
12a_213,4,No
12a_214,4,No
12a_215,4,No
12a_216,4,No
12a_217,4,No
12a_218,3,No
12a_219,4,No
12a_220,4,No
12a_221,3,No
12a_222,4,No
12a_223,3,No
12a_224,4,No
12a_225,4,No
12a_226,3,No
12a_227,3,No
12a_228,4,No
12a_229,3,No
12a_230,3,No
12a_231,3,No
12a_232,3,No
12a_233,4,No
12a_234,4,No
12a_235,3,No
12a_236,4,No
12a_237,3,No
12a_238,3,No
12a_239,2,No
12a_240,4,No
12a_241,3,No
12a_242,4,No
12a_243,3,No
12a_244,3,No
12a_245,4,No
12a_246,4,No
12a_247,3,No
12a_248,3,No
12a_249,3,No
12a_250,4,No
12a_251,3,No
12a_252,4,No
12a_253,3,No
12a_254,3,No
12a_255,2,No
12a_256,3,No
12a_257,3,No
12a_258,4,No
12a_259,3,No
12a_260,4,No
12a_261,4,No
12a_262,4,No
12a_263,3,No
12a_264,4,No
12a_265,4,No
12a_266,4,No
12a_267,3,No
12a_268,4,No
12a_269,3,No
12a_270,2,No
12a_271,4,No
12a_272,3,No
12a_273,3,No
12a_274,4,No
12a_275,3,No
12a_276,4,No
12a_277,3,No
12a_278,4,No
12a_279,3,No
12a_280,4,No
12a_281,4,No
12a_282,4,No
12a_283,4,No
12a_284,4,No
12a_285,4,No
12a_286,3,No
12a_287,4,No
12a_288,4,No
12a_289,3,No
12a_290,4,No
12a_291,3,No
12a_292,4,No
12a_293,3,No
12a_294,4,No
12a_295,3,No
12a_296,3,No
12a_297,4,No
12a_298,4,No
12a_299,4,No
12a_300,3,No
12a_301,3,No
12a_302,3,No
12a_303,3,No
12a_304,4,No
12a_305,4,No
12a_306,3,No
12a_307,3,No
12a_308,3,No
12a_309,3,No
12a_310,4,No
12a_311,3,No
12a_312,2,No
12a_313,3,No
12a_314,3,No
12a_315,3,No
12a_316,4,No
12a_317,3,No
12a_318,4,No
12a_319,3,No
12a_320,2,No
12a_321,4,No
12a_322,3,No
12a_323,4,No
12a_324,4,No
12a_325,4,No
12a_326,3,No
12a_327,3,No
12a_328,4,No
12a_329,3,No
12a_330,2,No
12a_331,4,No
12a_332,3,No
12a_333,4,No
12a_334,4,No
12a_335,4,No
12a_336,3,No
12a_337,3,No
12a_338,3,No
12a_339,2,No
12a_340,3,No
12a_341,4,No
12a_342,4,No
12a_343,3,No
12a_344,3,No
12a_345,2,No
12a_346,4,No
12a_347,3,No
12a_348,3,No
12a_349,4,No
12a_350,3,No
12a_351,4,No
12a_352,4,No
12a_353,3,No
12a_354,3,No
12a_355,3,No
12a_356,2,No
12a_357,3,No
12a_358,4,No
12a_359,4,No
12a_360,3,No
12a_361,4,No
12a_362,4,No
12a_363,4,No
12a_364,4,No
12a_365,4,No
12a_366,3,No
12a_367,4,No
12a_368,3,No
12a_369,5,No
12a_370,4,No
12a_371,4,No
12a_372,3,No
12a_373,4,No
12a_374,4,No
12a_375,4,No
12a_376,3,No
12a_377,4,No
12a_378,3,No
12a_379,3,No
12a_380,2,No
12a_381,3,No
12a_382,4,No
12a_383,4,No
12a_384,3,No
12a_385,3,No
12a_386,4,No
12a_387,4,No
12a_388,4,No
12a_389,4,No
12a_390,4,No
12a_391,3,No
12a_392,2,No
12a_393,3,No
12a_394,4,No
12a_395,3,No
12a_396,4,No
12a_397,3,No
12a_398,4,No
12a_399,3,No
12a_400,3,No
12a_401,3,No
12a_402,4,No
12a_403,3,No
12a_404,3,No
12a_405,3,No
12a_406,3,No
12a_407,3,No
12a_408,3,No
12a_409,4,No
12a_410,3,No
12a_411,4,No
12a_412,3,No
12a_413,4,No
12a_414,2,No
12a_415,4,No
12a_416,4,No
12a_417,4,No
12a_418,4,No
12a_419,4,No
12a_420,3,No
12a_421,2,No
12a_422,4,No
12a_423,3,No
12a_424,3,No
12a_425,2,No
12a_426,4,No
12a_427,4,No
12a_428,4,No
12a_429,3,No
12a_430,4,No
12a_431,3,No
12a_432,3,No
12a_433,3,No
12a_434,4,No
12a_435,4,No
12a_436,4,No
12a_437,3,No
12a_438,4,No
12a_439,4,No
12a_440,4,No
12a_441,3,No
12a_442,3,No
12a_443,2,No
12a_444,3,No
12a_445,4,No
12a_446,4,No
12a_447,3,No
12a_448,2,No
12a_449,3,No
12a_450,3,No
12a_451,4,No
12a_452,4,No
12a_453,4,No
12a_454,3,No
12a_455,4,No
12a_456,4,No
12a_457,4,No
12a_458,4,No
12a_459,3,No
12a_460,3,No
12a_461,3,No
12a_462,4,No
12a_463,3,No
12a_464,4,No
12a_465,4,No
12a_466,4,No
12a_467,4,No
12a_468,4,No
12a_469,4,No
12a_470,4,No
12a_471,2,No
12a_472,3,No
12a_473,4,No
12a_474,4,No
12a_475,4,No
12a_476,4,No
12a_477,3,No
12a_478,4,No
12a_479,4,No
12a_480,4,No
12a_481,3,No
12a_482,2,No
12a_483,4,No
12a_484,4,No
12a_485,4,No
12a_486,4,No
12a_487,4,No
12a_488,4,No
12a_489,3,No
12a_490,3,No
12a_491,3,No
12a_492,3,No
12a_493,4,No
12a_494,3,No
12a_495,4,No
12a_496,4,No
12a_497,4,No
12a_498,4,No
12a_499,4,No
12a_500,4,No
12a_501,4,No
12a_502,4,No
12a_503,4,No
12a_504,3,No
12a_505,4,No
12a_506,4,No
12a_507,4,No
12a_508,3,No
12a_509,4,No
12a_510,3,No
12a_511,4,No
12a_512,4,No
12a_513,3,No
12a_514,3,No
12a_515,4,No
12a_516,4,No
12a_517,4,No
12a_518,3,No
12a_519,4,No
12a_520,3,No
12a_521,4,No
12a_522,3,No
12a_523,4,No
12a_524,3,No
12a_525,3,No
12a_526,4,No
12a_527,4,No
12a_528,4,No
12a_529,3,No
12a_530,3,No
12a_531,4,No
12a_532,3,No
12a_533,4,No
12a_534,3,No
12a_535,4,No
12a_536,4,No
12a_537,3,No
12a_538,4,No
12a_539,3,No
12a_540,3,No
12a_541,4,No
12a_542,2,No
12a_543,3,No
12a_544,4,No
12a_545,3,No
12a_546,3,No
12a_547,3,No
12a_548,3,No
12a_549,2,No
12a_550,3,No
12a_551,2,No
12a_552,3,No
12a_553,4,No
12a_554,3,No
12a_555,3,No
12a_556,3,No
12a_557,2,No
12a_558,4,No
12a_559,3,No
12a_560,3,No
12a_561,4,No
12a_562,3,No
12a_563,3,No
12a_564,2,No
12a_565,4,No
12a_566,3,No
12a_567,4,No
