knot,p,q,Ord_v,Ordv_pq,result
K8n3,2,73,2,5,True
K8n3,2,75,2,5,True
K8n3,2,77,2,5,True
K8n3,2,79,2,5,True
K8n3,2,81,2,5,True
K8n3,2,83,2,5,True
K8n3,2,85,2,5,True
K8n3,2,87,2,5,True
K8n3,2,89,2,5,True
K8n3,2,91,2,5,True
K8n3,2,93,2,5,True
K8n3,2,95,2,5,True
K8n3,2,97,2,5,True
K8n3,2,99,2,5,True
K8n3,2,101,2,5,True
K8n3,2,103,2,5,True
K8n3,2,105,2,5,True
K8n3,2,107,2,5,True
K8n3,2,109,2,5,True
K9a41,2,15,1,3,True
K9a41,2,17,1,3,True
K9a41,2,19,1,3,True
K9a41,2,21,1,3,True
K9a41,2,23,1,3,True
K9a41,2,25,1,3,True
K9a41,2,27,1,3,True
K9a41,2,29,1,3,True
K9a41,2,31,1,3,True
K9a41,2,33,1,3,True
K9a41,2,35,1,3,True
K9a41,2,37,1,3,True
K9a41,2,39,1,3,True
K9a41,2,41,1,3,True
K9a41,2,43,1,3,True
K9a41,2,45,1,3,True
K9a41,2,47,1,3,True
K9a41,2,49,1,3,True
K9a41,2,51,1,3,True
K9a41,2,53,1,3,True
K9a41,2,55,1,3,True
K9a41,2,57,1,3,True
K9a41,2,59,1,3,True
K9a41,2,61,1,3,True
K9a41,2,63,1,3,True
K9a41,2,65,1,3,True
K9a41,2,67,1,3,True
K9a41,2,69,1,3,True
K9a41,2,71,1,3,True
K9a41,2,73,1,3,True
K9a41,2,75,1,3,True
K9a41,2,77,1,3,True
K9a41,2,79,1,3,True
K9a41,2,81,1,3,True
K9a41,2,83,1,3,True
K9a41,2,85,1,3,True
K9a41,2,87,1,3,True
K9a41,2,89,1,3,True
K9a41,2,91,1,3,True
K9a41,2,93,1,3,True
K9a41,2,95,1,3,True
K9a41,2,97,1,3,True
K9a41,2,99,1,3,True
K9a41,2,101,1,3,True
K9a41,2,103,1,3,True
K9a41,2,105,1,3,True
K9a41,2,107,1,3,True
K9a41,2,109,1,3,True
K9a41,2,111,1,3,True
K9a41,2,113,1,3,True
K10n21,2,15,2,5,True
K10n21,2,17,2,5,True
K10n21,2,19,2,5,True
K10n21,2,21,2,5,True
K10n21,2,23,2,5,True
K10n21,2,25,2,5,True
K10n21,2,27,2,5,True
K10n21,2,29,2,5,True
K10n21,2,31,2,5,True
K10n21,2,33,2,5,True
K10n21,2,35,2,5,True
K10n21,2,37,2,5,True
K10n21,2,39,2,5,True
K10n21,2,41,2,5,True
K10n21,2,43,2,5,True
K10n21,2,45,2,5,True
K10n21,2,47,2,5,True
K10n21,2,49,2,5,True
K10n21,2,51,2,5,True
K10n21,2,53,2,5,True
K10n21,2,55,2,5,True
K10n21,2,57,2,5,True
K10n21,2,59,2,5,True
K10n21,2,61,2,5,True
K10n21,2,63,2,5,True
K10n21,2,65,2,5,True
K10n21,2,67,2,5,True
K10n21,2,69,2,5,True
K10n21,2,71,2,5,True
K10n21,2,73,2,5,True
K10n21,2,75,2,5,True
K10n21,2,77,2,5,True
K10n21,2,79,2,5,True
K10n21,2,81,2,5,True
K10n21,2,83,2,5,True
K10n21,2,85,2,5,True
K10n21,2,87,2,5,True
K10n21,2,89,2,5,True
K10n21,2,91,2,5,True
K10n21,2,93,2,5,True
K10n21,2,95,2,5,True
K10n21,2,97,2,5,True
K10n21,2,99,2,5,True
K10n21,2,101,2,5,True
K10n21,2,103,2,5,True
K10n21,2,105,2,5,True
K10n21,2,107,2,5,True
K10n21,2,109,2,5,True
K10n21,2,111,2,5,True
K10n21,2,113,2,5,True
K11a367,2,19,1,3,True
K11a367,2,21,1,3,True
K11a367,2,23,1,3,True
K11a367,2,25,1,3,True
K11a367,2,27,1,3,True
K11a367,2,29,1,3,True
K11a367,2,31,1,3,True
K11a367,2,33,1,3,True
K11a367,2,35,1,3,True
K11a367,2,37,1,3,True
K11a367,2,39,1,3,True
K11a367,2,41,1,3,True
K11a367,2,43,1,3,True
K11a367,2,45,1,3,True
K11a367,2,47,1,3,True
K11a367,2,49,1,3,True
K11a367,2,51,1,3,True
K11a367,2,53,1,3,True
K11a367,2,55,1,3,True
K11a367,2,57,1,3,True
K11a367,2,59,1,3,True
K11a367,2,61,1,3,True
K11a367,2,63,1,3,True
K11a367,2,65,1,3,True
K11a367,2,67,1,3,True
K11a367,2,69,1,3,True
K11a367,2,71,1,3,True
K11a367,2,73,1,3,True
K11a367,2,75,1,3,True
K11a367,2,77,1,3,True
K11a367,2,79,1,3,True
K11a367,2,81,1,3,True
K11a367,2,83,1,3,True
K11a367,2,85,1,3,True
K11a367,2,87,1,3,True
K11a367,2,89,1,3,True
K11a367,2,91,1,3,True
K11a367,2,93,1,3,True
K11a367,2,95,1,3,True
K11a367,2,97,1,3,True
K11a367,2,99,1,3,True
K11a367,2,101,1,3,True
K11a367,2,103,1,3,True
K11a367,2,105,1,3,True
K11a367,2,107,1,3,True
K11a367,2,109,1,3,True
K11a367,2,111,1,3,True
K11a367,2,113,1,3,True
K11a367,2,115,1,3,True
K11a367,2,117,1,3,True
K12n242,2,19,2,5,True
K12n242,2,21,2,5,True
K12n242,2,23,2,5,True
K12n242,2,25,2,5,True
K12n242,2,27,2,5,True
K12n242,2,29,2,5,True
K12n242,2,31,2,5,True
K12n242,2,33,2,5,True
K12n242,2,35,2,5,True
K12n242,2,37,2,5,True
K12n242,2,39,2,5,True
K12n242,2,41,2,5,True
K12n242,2,43,2,5,True
K12n242,2,45,2,5,True
K12n242,2,47,2,5,True
K12n242,2,49,2,5,True
K12n242,2,51,2,5,True
K12n242,2,53,2,5,True
K12n242,2,55,2,5,True
K12n242,2,57,2,5,True
K12n242,2,59,2,5,True
K12n242,2,61,2,5,True
K12n242,2,63,2,5,True
K12n242,2,65,2,5,True
K12n242,2,67,2,5,True
K12n242,2,69,2,5,True
K12n242,2,71,2,5,True
K12n242,2,73,2,5,True
K12n242,2,75,2,5,True
K12n242,2,77,2,5,True
K12n242,2,79,2,5,True
K12n242,2,81,2,5,True
K12n242,2,83,2,5,True
K12n242,2,85,2,5,True
K12n242,2,87,2,5,True
K12n242,2,89,2,5,True
K12n242,2,91,2,5,True
K12n242,2,93,2,5,True
K12n242,2,95,2,5,True
K12n242,2,97,2,5,True
K12n242,2,99,2,5,True
K12n242,2,101,2,5,True
K12n242,2,103,2,5,True
K12n242,2,105,2,5,True
K12n242,2,107,2,5,True
K12n242,2,109,2,5,True
K12n242,2,111,2,5,True
K12n242,2,113,2,5,True
K12n242,2,115,2,5,True
K12n242,2,117,2,5,True
